scientificName,decimalLatitude,decimalLongitude
Mahonia japonica (Thunb.) DC.,25.083468,121.877359
Mahonia japonica (Thunb.) DC.,25.09831,121.871229
Mahonia japonica (Thunb.) DC.,25.092384,121.865586
Mahonia japonica (Thunb.) DC.,25.096667,121.863056
Mahonia japonica (Thunb.) DC.,25.097968,121.852241
Mahonia japonica (Thunb.) DC.,25.080884,121.840257
Mahonia japonica (Thunb.) DC.,24.890968,121.785432
Mahonia japonica (Thunb.) DC.,25.066667,121.766667
Mahonia japonica (Thunb.) DC.,24.99,121.68
Mahonia japonica (Thunb.) DC.,24.993333,121.666389
Mahonia japonica (Thunb.) DC.,25,121.65
Mahonia fortunei (Lindl.) Fedde,29.98515,121.627783
Mahonia japonica (Thunb.) DC.,25.14,121.6
Mahonia japonica (Thunb.) DC.,24.783333,121.6
Mahonia japonica (Thunb.) DC.,24.756389,121.594722
Mahonia oiwakensis Hayata,24.756389,121.594722
Mahonia oiwakensis Hayata,24.756389,121.594722
Berberis bealei Fortune,25.156906,121.591438
Berberis fortunei Lindl.,25.147336,121.579811
Mahonia japonica (Thunb.) DC.,24.849167,121.573889
Berberis fortunei Lindl.,25.175826,121.571106
Mahonia japonica (Thunb.) DC.,24.266667,121.566667
Mahonia oiwakensis Hayata,24.266667,121.566667
Mahonia oiwakensis Hayata,24.266667,121.566667
Mahonia japonica (Thunb.) DC.,25.187222,121.563333
Mahonia tikushiensis Hayata,24.849722,121.561111
Mahonia tikushiensis Hayata,24.849722,121.561111
Berberis bealei Fortune,25.153747,121.5608
Mahonia japonica (Thunb.) DC.,25.091075,121.559835
Mahonia fortunei (Lindl.) Fedde,25.091075,121.559835
Berberis fortunei Lindl.,25.136536,121.546018
Mahonia tikushiensis Hayata,25.184167,121.545278
Mahonia tikushiensis Hayata,25.184167,121.545278
Mahonia japonica (Thunb.) DC.,25.136944,121.543333
Mahonia lomariifolia Takeda,25.136944,121.543333
Mahonia lomariifolia Takeda,25.136944,121.543333
Mahonia lomariifolia Takeda,25.136944,121.543333
Berberis fortunei Lindl.,25.17745,121.536321
Berberis fortunei Lindl.,25.185814,121.535004
Berberis fortunei Lindl.,25.1725,121.534508
Mahonia japonica (Thunb.) DC.,25.183333,121.533333
Mahonia japonica (Thunb.) DC.,25.166667,121.533333
Mahonia japonica (Thunb.) DC.,25.169167,121.531667
Berberis fortunei Lindl.,25.171013,121.530205
Mahonia japonica (Thunb.) DC.,25.173889,121.528056
Mahonia fortunei (Lindl.) Fedde,25.013611,121.528056
Mahonia japonica (Thunb.) DC.,24.489722,121.528056
Mahonia japonica (Thunb.) DC.,25.172778,121.525833
Mahonia japonica (Thunb.) DC.,24.498611,121.525556
Mahonia japonica (Thunb.) DC.,25.177222,121.525
Mahonia japonica (Thunb.) DC.,25.016111,121.521667
Berberis fortunei Lindl.,25.178208,121.521194
Mahonia japonica (Thunb.) DC.,25.19,121.52
Berberis fortunei Lindl.,25.183803,121.515558
Mahonia fortunei (Lindl.) Fedde,25.046111,121.511944
Mahonia morrisonensis Takeda,25.046111,121.511944
Mahonia morrisonensis Takeda,25.046111,121.511944
Mahonia japonica (Thunb.) DC.,25.191667,121.508333
Mahonia japonica (Thunb.) DC.,25.027222,121.505556
Mahonia fortunei (Lindl.) Fedde,25.027222,121.505556
Mahonia japonica (Thunb.) DC.,25.2,121.5
Mahonia japonica (Thunb.) DC.,25.128333,121.495
Mahonia japonica (Thunb.) DC.,24.411944,121.443611
Mahonia oiwakensis Hayata,24.411944,121.443611
Mahonia oiwakensis Hayata,24.411944,121.443611
Mahonia japonica (Thunb.) DC.,24.361667,121.443333
Mahonia oiwakensis Hayata,24.361667,121.443333
Mahonia oiwakensis Hayata,24.361667,121.443333
Mahonia japonica (Thunb.) DC.,24.376667,121.414444
Mahonia japonica (Thunb.) DC.,24.175994,121.392044
Mahonia japonica (Thunb.) DC.,24.58,121.39
Mahonia japonica (Thunb.) DC.,24.175374,121.387259
Mahonia oiwakensis Hayata,24.4075,121.378611
Mahonia oiwakensis Hayata,24.4075,121.378611
Mahonia oiwakensis Hayata,24.366667,121.366667
Mahonia oiwakensis Hayata,24.366667,121.366667
Berberis oiwakensis (Hayata) Laferr.,24.367295,121.36592
Berberis oiwakensis (Hayata) Laferr.,24.367295,121.36592
Berberis fortunei Lindl.,24.367022,121.365478
Berberis oiwakensis (Hayata) Laferr.,24.27803,121.36185
Berberis oiwakensis (Hayata) Laferr.,24.27803,121.36185
Mahonia oiwakensis Hayata,24.39,121.36
Mahonia oiwakensis Hayata,24.39,121.36
Berberis oiwakensis (Hayata) Laferr.,24.387192,121.356857
Berberis oiwakensis (Hayata) Laferr.,24.387192,121.356857
Berberis oiwakensis (Hayata) Laferr.,24.202797,121.349488
Berberis oiwakensis (Hayata) Laferr.,24.202797,121.349488
Mahonia oiwakensis Hayata,24.185424,121.337642
Mahonia oiwakensis Hayata,24.185424,121.337642
Berberis oiwakensis (Hayata) Laferr.,24.405663,121.333428
Berberis oiwakensis (Hayata) Laferr.,24.405663,121.333428
Mahonia oiwakensis Hayata,24.188199,121.332541
Mahonia oiwakensis Hayata,24.188199,121.332541
Berberis oiwakensis (Hayata) Laferr.,24.202899,121.330573
Berberis oiwakensis (Hayata) Laferr.,24.202899,121.330573
Berberis oiwakensis (Hayata) Laferr.,24.257694,121.329017
Berberis oiwakensis (Hayata) Laferr.,24.257694,121.329017
Berberis oiwakensis (Hayata) Laferr.,24.37021,121.322623
Berberis oiwakensis (Hayata) Laferr.,24.37021,121.322623
Berberis oiwakensis (Hayata) Laferr.,24.115747,121.321835
Berberis oiwakensis (Hayata) Laferr.,24.115747,121.321835
Berberis oiwakensis (Hayata) Laferr.,24.347683,121.318641
Berberis oiwakensis (Hayata) Laferr.,24.347683,121.318641
Mahonia oiwakensis Hayata,24.18,121.31
Mahonia oiwakensis Hayata,24.18,121.31
Mahonia oiwakensis Hayata,24.175278,121.307222
Mahonia oiwakensis Hayata,24.175278,121.307222
Mahonia tikushiensis Hayata,24.179167,121.302778
Mahonia tikushiensis Hayata,24.179167,121.302778
Mahonia japonica (Thunb.) DC.,24.221111,121.3025
Mahonia oiwakensis Hayata,24.221111,121.3025
Mahonia oiwakensis Hayata,24.221111,121.3025
Mahonia oiwakensis Hayata,24.3525,121.301944
Mahonia oiwakensis Hayata,24.3525,121.301944
Mahonia oiwakensis Hayata,24.175278,121.300556
Mahonia oiwakensis Hayata,24.175278,121.300556
Mahonia japonica (Thunb.) DC.,24.03,121.3
Mahonia japonica (Thunb.) DC.,24.18,121.29
Mahonia fortunei (Lindl.) Fedde,24.311944,121.284722
Mahonia oiwakensis Hayata,24.216667,121.283333
Mahonia oiwakensis Hayata,24.216667,121.283333
Mahonia japonica (Thunb.) DC.,24.06,121.27
Mahonia japonica (Thunb.) DC.,24.49129,121.266773
Berberis oiwakensis (Hayata) Laferr.,23.883703,121.251822
Berberis oiwakensis (Hayata) Laferr.,23.883703,121.251822
Mahonia oiwakensis Hayata,24.240833,121.248611
Mahonia oiwakensis Hayata,24.240833,121.248611
Mahonia japonica (Thunb.) DC.,24.12,121.24
Mahonia japonica (Thunb.) DC.,24.344801,121.235727
Mahonia japonica (Thunb.) DC.,24.346524,121.23099
Berberis oiwakensis (Hayata) Laferr.,24.16973,121.227756
Berberis oiwakensis (Hayata) Laferr.,24.16973,121.227756
Mahonia oiwakensis Hayata,23.814265,121.212391
Mahonia oiwakensis Hayata,23.814265,121.212391
Mahonia oiwakensis Hayata,24.121722,121.212296
Mahonia oiwakensis Hayata,24.121722,121.212296
Berberis oiwakensis (Hayata) Laferr.,24.540439,121.209133
Berberis oiwakensis (Hayata) Laferr.,24.540439,121.209133
Mahonia oiwakensis Hayata,23.976895,121.208638
Mahonia oiwakensis Hayata,23.976895,121.208638
Mahonia oiwakensis Hayata,23.978706,121.204887
Mahonia oiwakensis Hayata,23.978706,121.204887
Mahonia oiwakensis Hayata,23.978707,121.204071
Mahonia oiwakensis Hayata,23.978707,121.204071
Mahonia oiwakensis Hayata,23.979339,121.203827
Mahonia oiwakensis Hayata,23.979339,121.203827
Mahonia oiwakensis Hayata,23.978528,121.202695
Mahonia oiwakensis Hayata,23.978528,121.202695
Mahonia oiwakensis Hayata,24.113056,121.199167
Mahonia oiwakensis Hayata,24.113056,121.199167
Mahonia tikushiensis Hayata,24.100629,121.184886
Mahonia tikushiensis Hayata,24.100629,121.184886
Mahonia japonica (Thunb.) DC.,24.56,121.18
Berberis oiwakensis (Hayata) Laferr.,24.08964,121.17429
Berberis oiwakensis (Hayata) Laferr.,24.08964,121.17429
Mahonia japonica (Thunb.) DC.,24.12,121.15
Mahonia oiwakensis Hayata,24.49326,121.147775
Mahonia oiwakensis Hayata,24.49326,121.147775
Mahonia oiwakensis Hayata,23.746534,121.140004
Mahonia oiwakensis Hayata,23.746534,121.140004
Mahonia oiwakensis Hayata,24.495931,121.140003
Mahonia oiwakensis Hayata,24.495931,121.140003
Mahonia oiwakensis Hayata,24.495711,121.133658
Mahonia oiwakensis Hayata,24.495711,121.133658
Berberis oiwakensis (Hayata) Laferr.,24.506425,121.115261
Berberis oiwakensis (Hayata) Laferr.,24.506425,121.115261
Berberis oiwakensis (Hayata) Laferr.,24.506494,121.114707
Berberis oiwakensis (Hayata) Laferr.,24.506494,121.114707
Berberis oiwakensis (Hayata) Laferr.,24.506648,121.114444
Berberis oiwakensis (Hayata) Laferr.,24.506648,121.114444
Berberis oiwakensis (Hayata) Laferr.,24.503567,121.11438
Berberis oiwakensis (Hayata) Laferr.,24.503567,121.11438
Berberis oiwakensis (Hayata) Laferr.,24.505912,121.114068
Berberis oiwakensis (Hayata) Laferr.,24.505912,121.114068
Berberis oiwakensis (Hayata) Laferr.,24.506041,121.113777
Berberis oiwakensis (Hayata) Laferr.,24.506041,121.113777
Mahonia oiwakensis Hayata,24.488603,121.101022
Mahonia oiwakensis Hayata,24.488603,121.101022
Berberis oiwakensis (Hayata) Laferr.,24.555188,121.10052
Berberis oiwakensis (Hayata) Laferr.,24.555188,121.10052
Berberis oiwakensis (Hayata) Laferr.,24.34162,121.092202
Berberis oiwakensis (Hayata) Laferr.,24.34162,121.092202
Mahonia oiwakensis Hayata,24.48365,121.079599
Mahonia oiwakensis Hayata,24.48365,121.079599
Mahonia oiwakensis Hayata,24.484553,121.078791
Mahonia oiwakensis Hayata,24.484553,121.078791
Mahonia oiwakensis Hayata,24.486089,121.077884
Mahonia oiwakensis Hayata,24.486089,121.077884
Berberis oiwakensis (Hayata) Laferr.,24.552044,121.068794
Berberis oiwakensis (Hayata) Laferr.,24.552044,121.068794
Mahonia tikushiensis Hayata,24.305522,121.036325
Mahonia tikushiensis Hayata,24.305522,121.036325
Mahonia oiwakensis Hayata,24.291389,121.030833
Mahonia oiwakensis Hayata,24.291389,121.030833
Mahonia oiwakensis Hayata,24.52,121.03
Mahonia oiwakensis Hayata,24.52,121.03
Berberis oiwakensis (Hayata) Laferr.,24.132484,121.027837
Berberis oiwakensis (Hayata) Laferr.,24.132484,121.027837
Mahonia oiwakensis Hayata,24.518889,121.025556
Mahonia oiwakensis Hayata,24.518889,121.025556
Mahonia lomariifolia Takeda,24.153889,121.016667
Mahonia lomariifolia Takeda,24.153889,121.016667
Mahonia lomariifolia Takeda,24.153889,121.016667
Mahonia oiwakensis Hayata,24.414598,121.005709
Mahonia oiwakensis Hayata,24.414598,121.005709
Mahonia oiwakensis Hayata,24.264722,121.004444
Mahonia oiwakensis Hayata,24.264722,121.004444
Mahonia tikushiensis Hayata,24.00092,121.00001
Mahonia tikushiensis Hayata,24.00092,121.00001
Berberis oiwakensis (Hayata) Laferr.,24.256389,120.985278
Berberis oiwakensis (Hayata) Laferr.,24.256389,120.985278
Berberis oiwakensis (Hayata) Laferr.,24.254728,120.980217
Berberis oiwakensis (Hayata) Laferr.,24.254728,120.980217
Mahonia oiwakensis Hayata,24.564722,120.978611
Mahonia oiwakensis Hayata,24.564722,120.978611
Berberis oiwakensis (Hayata) Laferr.,24.231317,120.971563
Berberis oiwakensis (Hayata) Laferr.,24.231317,120.971563
Berberis oiwakensis (Hayata) Laferr.,23.439654,120.970626
Berberis oiwakensis (Hayata) Laferr.,23.439654,120.970626
Mahonia oiwakensis Hayata,24.8,120.962778
Mahonia oiwakensis Hayata,24.8,120.962778
Berberis oiwakensis (Hayata) Laferr.,24.276388,120.94722
Berberis oiwakensis (Hayata) Laferr.,24.276388,120.94722
Berberis oiwakensis (Hayata) Laferr.,24.276825,120.946518
Berberis oiwakensis (Hayata) Laferr.,24.276825,120.946518
Berberis oiwakensis (Hayata) Laferr.,24.242296,120.936568
Berberis oiwakensis (Hayata) Laferr.,24.242296,120.936568
Berberis oiwakensis (Hayata) Laferr.,23.251883,120.932384
Berberis oiwakensis (Hayata) Laferr.,23.251883,120.932384
Mahonia oiwakensis Hayata,23.278812,120.913842
Mahonia oiwakensis Hayata,23.278812,120.913842
Mahonia oiwakensis Hayata,23.27827,120.913481
Mahonia oiwakensis Hayata,23.27827,120.913481
Mahonia oiwakensis Hayata,23.278812,120.913461
Mahonia oiwakensis Hayata,23.278812,120.913461
Mahonia oiwakensis Hayata,23.278089,120.912406
Mahonia oiwakensis Hayata,23.278089,120.912406
Mahonia oiwakensis Hayata,23.278359,120.911614
Mahonia oiwakensis Hayata,23.278359,120.911614
Mahonia oiwakensis Hayata,23.485153,120.911016
Mahonia oiwakensis Hayata,23.485153,120.911016
Mahonia oiwakensis Hayata,23.491474,120.911012
Mahonia oiwakensis Hayata,23.491474,120.911012
Mahonia oiwakensis Hayata,23.492106,120.910826
Mahonia oiwakensis Hayata,23.492106,120.910826
Mahonia oiwakensis Hayata,23.276914,120.910031
Mahonia oiwakensis Hayata,23.276914,120.910031
Mahonia oiwakensis Hayata,23.277275,120.90962
Mahonia oiwakensis Hayata,23.277275,120.90962
Mahonia oiwakensis Hayata,23.276642,120.907998
Mahonia oiwakensis Hayata,23.276642,120.907998
Mahonia oiwakensis Hayata,23.276731,120.905779
Mahonia oiwakensis Hayata,23.276731,120.905779
Berberis oiwakensis (Hayata) Laferr.,23.278822,120.905472
Berberis oiwakensis (Hayata) Laferr.,23.278822,120.905472
Mahonia oiwakensis Hayata,23.482169,120.90441
Mahonia oiwakensis Hayata,23.482169,120.90441
Mahonia oiwakensis Hayata,23.479549,120.903041
Mahonia oiwakensis Hayata,23.479549,120.903041
Mahonia oiwakensis Hayata,23.481716,120.902854
Mahonia oiwakensis Hayata,23.481716,120.902854
Mahonia oiwakensis Hayata,24.238333,120.9025
Mahonia oiwakensis Hayata,24.238333,120.9025
Mahonia oiwakensis Hayata,23.282507,120.900741
Mahonia oiwakensis Hayata,23.282507,120.900741
Mahonia oiwakensis Hayata,23.284222,120.90027
Mahonia oiwakensis Hayata,23.284222,120.90027
Mahonia oiwakensis Hayata,23.282868,120.900242
Mahonia oiwakensis Hayata,23.282868,120.900242
Mahonia oiwakensis Hayata,23.286117,120.898069
Mahonia oiwakensis Hayata,23.286117,120.898069
Mahonia oiwakensis Hayata,23.284943,120.89764
Mahonia oiwakensis Hayata,23.284943,120.89764
Mahonia oiwakensis Hayata,23.284672,120.897298
Mahonia oiwakensis Hayata,23.284672,120.897298
Mahonia oiwakensis Hayata,23.284311,120.897064
Mahonia oiwakensis Hayata,23.284311,120.897064
Berberis oiwakensis (Hayata) Laferr.,23.600705,120.883018
Berberis oiwakensis (Hayata) Laferr.,23.600705,120.883018
Berberis oiwakensis (Hayata) Laferr.,23.598726,120.877804
Berberis oiwakensis (Hayata) Laferr.,23.598726,120.877804
Berberis oiwakensis (Hayata) Laferr.,23.626987,120.870583
Berberis oiwakensis (Hayata) Laferr.,23.626987,120.870583
Berberis oiwakensis (Hayata) Laferr.,23.547416,120.869576
Berberis oiwakensis (Hayata) Laferr.,23.547416,120.869576
Mahonia tikushiensis Hayata,23.343333,120.868611
Mahonia tikushiensis Hayata,23.343333,120.868611
Mahonia japonica (Thunb.) DC.,23.509233,120.868229
Mahonia japonica (Thunb.) DC.,23.509593,120.867092
Mahonia oiwakensis Hayata,23.455135,120.859649
Mahonia oiwakensis Hayata,23.455135,120.859649
Mahonia oiwakensis Hayata,23.454313,120.850097
Mahonia oiwakensis Hayata,23.454313,120.850097
Berberis oiwakensis (Hayata) Laferr.,23.531563,120.849787
Berberis oiwakensis (Hayata) Laferr.,23.531563,120.849787
Berberis oiwakensis (Hayata) Laferr.,23.472046,120.844116
Berberis oiwakensis (Hayata) Laferr.,23.472046,120.844116
Mahonia oiwakensis Hayata,23.039722,120.841667
Mahonia oiwakensis Hayata,23.039722,120.841667
Mahonia lomariifolia Takeda,23.466944,120.835556
Mahonia lomariifolia Takeda,23.466944,120.835556
Mahonia lomariifolia Takeda,23.466944,120.835556
Mahonia oiwakensis Hayata,22.986944,120.831667
Mahonia oiwakensis Hayata,22.986944,120.831667
Mahonia oiwakensis Hayata,23.506944,120.815833
Mahonia oiwakensis Hayata,23.506944,120.815833
Mahonia oiwakensis Hayata,23.553608,120.81573
Mahonia oiwakensis Hayata,23.553608,120.81573
Mahonia discolorifolia Ahrendt,23.110833,120.814722
Mahonia discolorifolia Ahrendt,23.110833,120.814722
Mahonia oiwakensis Hayata,23.55478,120.814495
Mahonia oiwakensis Hayata,23.55478,120.814495
Berberis oiwakensis (Hayata) Laferr.,23.519524,120.814043
Berberis oiwakensis (Hayata) Laferr.,23.519524,120.814043
Berberis oiwakensis (Hayata) Laferr.,23.519255,120.813903
Berberis oiwakensis (Hayata) Laferr.,23.519255,120.813903
Berberis oiwakensis (Hayata) Laferr.,23.519167,120.81357
Berberis oiwakensis (Hayata) Laferr.,23.519167,120.81357
Berberis oiwakensis (Hayata) Laferr.,23.520187,120.8134
Berberis oiwakensis (Hayata) Laferr.,23.520187,120.8134
Mahonia oiwakensis Hayata,23.555953,120.813229
Mahonia oiwakensis Hayata,23.555953,120.813229
Berberis oiwakensis (Hayata) Laferr.,23.513379,120.813115
Berberis oiwakensis (Hayata) Laferr.,23.513379,120.813115
Berberis oiwakensis (Hayata) Laferr.,23.513588,120.813032
Berberis oiwakensis (Hayata) Laferr.,23.513588,120.813032
Berberis oiwakensis (Hayata) Laferr.,23.513585,120.813015
Berberis oiwakensis (Hayata) Laferr.,23.513585,120.813015
Berberis oiwakensis (Hayata) Laferr.,23.513494,120.812927
Berberis oiwakensis (Hayata) Laferr.,23.513494,120.812927
Berberis oiwakensis (Hayata) Laferr.,23.501611,120.812635
Berberis oiwakensis (Hayata) Laferr.,23.501611,120.812635
Mahonia oiwakensis Hayata,23.55622,120.810623
Mahonia oiwakensis Hayata,23.55622,120.810623
Berberis oiwakensis (Hayata) Laferr.,23.519274,120.808964
Berberis oiwakensis (Hayata) Laferr.,23.519274,120.808964
Mahonia morrisonensis Takeda,23.516667,120.806111
Mahonia morrisonensis Takeda,23.516667,120.806111
Berberis oiwakensis (Hayata) Laferr.,23.501449,120.805957
Berberis oiwakensis (Hayata) Laferr.,23.501449,120.805957
Berberis oiwakensis (Hayata) Laferr.,23.511085,120.804987
Berberis oiwakensis (Hayata) Laferr.,23.511085,120.804987
Berberis oiwakensis (Hayata) Laferr.,23.510312,120.804256
Berberis oiwakensis (Hayata) Laferr.,23.510312,120.804256
Mahonia morrisonensis Takeda,23.546667,120.799722
Mahonia morrisonensis Takeda,23.546667,120.799722
Mahonia oiwakensis Hayata,23.539681,120.799109
Mahonia oiwakensis Hayata,23.539681,120.799109
Berberis fortunei Lindl.,23.677629,120.798098
Mahonia oiwakensis Hayata,23.549405,120.797714
Mahonia oiwakensis Hayata,23.549405,120.797714
Mahonia japonica (Thunb.) DC.,23.5,120.790278
Mahonia oiwakensis Hayata,23.530003,120.787166
Mahonia oiwakensis Hayata,23.530003,120.787166
Mahonia lomariifolia Takeda,23.670556,120.786389
Mahonia lomariifolia Takeda,23.670556,120.786389
Mahonia lomariifolia Takeda,23.670556,120.786389
Berberis oiwakensis (Hayata) Laferr.,23.651473,120.785956
Berberis oiwakensis (Hayata) Laferr.,23.651473,120.785956
Berberis oiwakensis (Hayata) Laferr.,23.435468,120.780968
Berberis oiwakensis (Hayata) Laferr.,23.435468,120.780968
Mahonia oiwakensis Hayata,23.5275,120.769167
Mahonia oiwakensis Hayata,23.5275,120.769167
Mahonia japonica (Thunb.) DC.,24.383333,120.766667
Mahonia oiwakensis Hayata,23.531527,120.766558
Mahonia oiwakensis Hayata,23.531527,120.766558
Mahonia oiwakensis Hayata,23.071917,120.756806
Mahonia oiwakensis Hayata,23.071917,120.756806
Berberis oiwakensis (Hayata) Laferr.,23.459844,120.756145
Berberis oiwakensis (Hayata) Laferr.,23.459844,120.756145
Mahonia morrisonensis Takeda,22.630556,120.752222
Mahonia morrisonensis Takeda,22.630556,120.752222
Mahonia japonica (Thunb.) DC.,24.433333,120.75
Mahonia tikushiensis Hayata,23.082015,120.749137
Mahonia tikushiensis Hayata,23.082015,120.749137
Berberis oiwakensis (Hayata) Laferr.,23.578338,120.748701
Berberis oiwakensis (Hayata) Laferr.,23.578338,120.748701
Mahonia oiwakensis Hayata,23.457032,120.746212
Mahonia oiwakensis Hayata,23.457032,120.746212
Mahonia japonica (Thunb.) DC.,22.61,120.74
Berberis oiwakensis (Hayata) Laferr.,23.058422,120.728478
Berberis oiwakensis (Hayata) Laferr.,23.058422,120.728478
Berberis oiwakensis (Hayata) Laferr.,23.49055,120.720162
Berberis oiwakensis (Hayata) Laferr.,23.49055,120.720162
Mahonia oiwakensis Hayata,23.49,120.71
Mahonia oiwakensis Hayata,23.49,120.71
Berberis oiwakensis (Hayata) Laferr.,23.477366,120.704112
Berberis oiwakensis (Hayata) Laferr.,23.477366,120.704112
Berberis oiwakensis (Hayata) Laferr.,23.477421,120.70407
Berberis oiwakensis (Hayata) Laferr.,23.477421,120.70407
Berberis oiwakensis (Hayata) Laferr.,23.487802,120.703787
Berberis oiwakensis (Hayata) Laferr.,23.487802,120.703787
Berberis oiwakensis (Hayata) Laferr.,23.474228,120.703542
Berberis oiwakensis (Hayata) Laferr.,23.474228,120.703542
Berberis oiwakensis (Hayata) Laferr.,23.475728,120.703347
Berberis oiwakensis (Hayata) Laferr.,23.475728,120.703347
Berberis oiwakensis (Hayata) Laferr.,23.47387,120.703083
Berberis oiwakensis (Hayata) Laferr.,23.47387,120.703083
Berberis oiwakensis (Hayata) Laferr.,23.48784,120.703049
Berberis oiwakensis (Hayata) Laferr.,23.48784,120.703049
Berberis oiwakensis (Hayata) Laferr.,23.475854,120.703004
Berberis oiwakensis (Hayata) Laferr.,23.475854,120.703004
Berberis oiwakensis (Hayata) Laferr.,23.471565,120.698808
Berberis oiwakensis (Hayata) Laferr.,23.471565,120.698808
Berberis oiwakensis (Hayata) Laferr.,23.473955,120.697923
Berberis oiwakensis (Hayata) Laferr.,23.473955,120.697923
Berberis oiwakensis (Hayata) Laferr.,23.479703,120.67572
Berberis oiwakensis (Hayata) Laferr.,23.479703,120.67572
Berberis oiwakensis (Hayata) Laferr.,23.542012,120.67357
Berberis oiwakensis (Hayata) Laferr.,23.542012,120.67357
Berberis oiwakensis (Hayata) Laferr.,23.553252,120.670445
Berberis oiwakensis (Hayata) Laferr.,23.553252,120.670445
Berberis oiwakensis (Hayata) Laferr.,23.503642,120.660247
Berberis oiwakensis (Hayata) Laferr.,23.503642,120.660247
Berberis oiwakensis (Hayata) Laferr.,23.43007,120.660162
Berberis oiwakensis (Hayata) Laferr.,23.43007,120.660162
Berberis oiwakensis (Hayata) Laferr.,23.429942,120.659762
Berberis oiwakensis (Hayata) Laferr.,23.429942,120.659762
Berberis oiwakensis (Hayata) Laferr.,23.521048,120.630774
Berberis oiwakensis (Hayata) Laferr.,23.521048,120.630774
Berberis oiwakensis (Hayata) Laferr.,23.541328,120.605788
Berberis oiwakensis (Hayata) Laferr.,23.541328,120.605788
Berberis oiwakensis (Hayata) Laferr.,23.541412,120.605675
